"Date","Price","Open","High","Low","Vol.","Change %"
"May 15, 2019","4.71","4.59","4.75","4.53","14.67M","0.86%"
"May 14, 2019","4.67","4.47","4.67","4.41","27.93M","7.85%"
"May 13, 2019","4.33","4.50","4.50","4.30","21.80M","-5.04%"
"May 10, 2019","4.56","4.60","4.66","4.51","17.15M","-0.87%"
"May 09, 2019","4.60","4.54","4.70","4.51","15.76M","0.66%"
"May 08, 2019","4.57","4.79","4.81","4.56","20.46M","-5.58%"
"May 07, 2019","4.84","4.81","4.92","4.76","11.55M","-0.82%"
"May 06, 2019","4.88","4.72","4.88","4.69","16.14M","-2.79%"
"May 03, 2019","5.02","4.73","5.11","4.73","25.25M","6.36%"
"May 02, 2019","4.72","4.74","4.75","4.57","14.08M","0.85%"
"May 01, 2019","4.68","4.84","4.85","4.68","13.31M","-3.51%"
"Apr 30, 2019","4.85","4.98","5.08","4.80","14.43M","-2.61%"
"Apr 29, 2019","4.98","4.89","5.05","4.87","15.20M","1.22%"
"Apr 26, 2019","4.92","4.85","4.93","4.77","11.89M","0.41%"
"Apr 25, 2019","4.90","5.01","5.15","4.85","21.55M","-2.00%"
"Apr 24, 2019","5.00","4.79","5.01","4.75","20.40M","3.52%"
"Apr 23, 2019","4.83","4.82","4.92","4.73","15.11M","1.05%"
"Apr 22, 2019","4.78","4.74","4.81","4.62","12.94M","-0.21%"
"Apr 18, 2019","4.79","4.53","4.92","4.44","31.21M","4.36%"
"Apr 17, 2019","4.59","4.61","4.72","4.51","30.55M","3.15%"
"Apr 16, 2019","4.45","4.80","4.81","4.43","46.35M","-6.32%"
"Apr 15, 2019","4.75","4.99","5.00","4.72","27.49M","-4.81%"
"Apr 12, 2019","4.99","5.03","5.06","4.95","15.56M","-0.40%"
"Apr 11, 2019","5.01","5.00","5.08","4.97","17.64M","-0.79%"
"Apr 10, 2019","5.05","5.06","5.11","4.96","25.96M","-0.59%"
"Apr 09, 2019","5.08","5.28","5.28","5.06","32.59M","-4.15%"
"Apr 08, 2019","5.30","5.33","5.38","5.25","17.35M","-1.12%"
"Apr 05, 2019","5.36","5.37","5.40","5.31","18.09M","0.19%"
"Apr 04, 2019","5.35","5.39","5.50","5.27","31.70M","0.75%"
"Apr 03, 2019","5.31","5.55","5.58","5.23","35.32M","-1.48%"
"Apr 02, 2019","5.39","5.43","5.61","5.34","55.81M","3.45%"
"Apr 01, 2019","5.21","5.29","5.40","5.14","32.40M","2.16%"
"Mar 29, 2019","5.10","5.06","5.13","5.03","23.60M","1.80%"
"Mar 28, 2019","5.01","5.04","5.17","4.93","29.46M","0.60%"
"Mar 27, 2019","4.98","5.01","5.19","4.96","39.75M","0.40%"
"Mar 26, 2019","4.96","5.20","5.22","4.90","67.21M","-7.29%"
"Mar 25, 2019","5.35","5.62","5.66","5.27","38.99M","-4.80%"
"Mar 22, 2019","5.62","5.80","5.87","5.60","24.96M","-3.77%"
"Mar 21, 2019","5.84","5.75","5.95","5.74","21.37M","-0.17%"
"Mar 20, 2019","5.85","6.02","6.03","5.71","39.05M","-1.85%"
"Mar 19, 2019","5.96","5.75","6.03","5.73","54.51M","3.65%"
"Mar 18, 2019","5.75","5.69","5.95","5.44","76.51M","0.70%"
"Mar 15, 2019","5.71","6.12","6.13","5.71","85.78M","-5.31%"
"Mar 14, 2019","6.03","6.63","6.64","6.00","58.98M","-7.66%"
"Mar 13, 2019","6.53","6.32","6.77","6.24","41.73M","2.19%"
"Mar 12, 2019","6.39","6.62","6.64","6.37","41.62M","-3.03%"
"Mar 11, 2019","6.59","6.95","6.98","6.55","62.54M","-6.66%"
"Mar 08, 2019","7.06","7.02","7.20","6.85","32.04M","-0.42%"
"Mar 07, 2019","7.09","7.81","7.95","7.00","52.47M","-11.49%"
"Mar 06, 2019","8.01","8.26","8.72","8.00","73.52M","-21.16%"
"Mar 05, 2019","10.16","9.80","10.63","9.70","53.68M","3.89%"
"Mar 04, 2019","9.78","10.32","10.37","9.15","43.75M","-2.78%"
"Mar 01, 2019","10.06","9.82","10.20","9.73","32.41M","5.12%"
"Feb 28, 2019","9.57","9.85","9.93","9.46","26.51M","-2.84%"
"Feb 27, 2019","9.85","10.15","10.25","9.33","53.23M","0.61%"
"Feb 26, 2019","9.79","9.16","10.64","8.82","106.02M","8.78%"
"Feb 25, 2019","9.00","9.04","9.09","8.60","52.42M","10.16%"
"Feb 22, 2019","8.17","7.92","8.22","7.75","26.60M","6.94%"
"Feb 21, 2019","7.64","7.70","7.73","7.43","8.06M","0.26%"
"Feb 20, 2019","7.62","7.26","7.77","7.26","21.50M","4.96%"
"Feb 19, 2019","7.26","7.40","7.43","7.21","9.97M","-2.02%"
"Feb 15, 2019","7.41","7.55","7.64","7.25","15.62M","-0.94%"
"Feb 14, 2019","7.48","7.70","7.78","7.42","14.73M","-0.13%"
"Feb 13, 2019","7.49","7.52","7.68","7.39","10.87M","0.67%"
"Feb 12, 2019","7.44","7.35","7.57","7.14","13.26M","-0.27%"
"Feb 11, 2019","7.46","7.67","7.77","7.38","9.75M","-2.74%"
"Feb 08, 2019","7.67","8.00","8.00","7.28","21.71M","-4.60%"
"Feb 07, 2019","8.04","8.28","8.37","7.80","23.20M","-4.29%"
"Feb 06, 2019","8.40","7.95","8.59","7.83","33.40M","6.60%"
"Feb 05, 2019","7.88","7.71","7.96","7.61","9.03M","0.38%"
"Feb 04, 2019","7.85","7.96","7.98","7.74","8.59M","-0.63%"
"Feb 01, 2019","7.90","7.85","8.11","7.68","20.79M","0.25%"
"Jan 31, 2019","7.88","7.40","7.89","7.40","21.23M","5.63%"
"Jan 30, 2019","7.46","6.94","7.55","6.92","28.78M","7.49%"
